,0,1,2,3,4,frXle,fre_pct,grade
乐,578,1,3.022491349480969,254,2.901574803149606,146812,0.5766162666135991,1
林,589,1,3.00169779286927,248,2.846774193548386,146072,0.5778632127599216,1
望,540,1,3.175925925925925,268,3.138059701492537,144720,0.5790064231487402,1
清,515,1,3.060194174757281,281,2.9893238434163703,144715,0.580096707130669,1
话,526,1,3.188212927756654,273,3.13919413919414,143598,0.5812102787316292,1
些,470,1,3.236170212765957,303,3.204620462046203,142410,0.5822052951811565,1
找,566,1,3.134275618374559,250,3.000000000000001,141500,0.5834035490331404,1
满,478,1,3.077405857740585,296,3.037162162162161,141488,0.5844155019328724,1
河,661,1,2.984871406959151,214,2.7383177570093453,141454,0.5858148761310373,1
口,521,1,3.021113243761997,263,3.030418250950569,137023,0.5869178624506196,1
改,393,1,2.867684478371501,346,2.8410404624277463,135978,0.5877498655669265,1
常,504,1,3.168650793650794,269,3.148698884758363,135576,0.5888168619298239,1
变,570,1,3.175438596491228,235,3.127659574468084,133950,0.59002358400691,1
条,550,1,3.218181818181818,243,3.123456790123456,133650,0.5911879649584846,1
日,519,1,2.9479768786127183,252,2.96031746031746,130788,0.5922867171655157,1
青,603,1,2.845771144278605,216,2.722222222222223,130248,0.5935633020996964,1
空,518,1,3.131274131274132,250,3.004000000000001,129500,0.594659937250452,1
最,499,1,3.200400801603205,259,3.135135135135135,129241,0.5957163483319714,1
于,447,1,3.440715883668903,288,3.361111111111111,128736,0.5966626724871601,1
带,480,1,3.125000000000001,266,3.131578947368422,127680,0.5976788594994432,1
欢,473,1,3.048625792811838,269,2.925650557620817,127237,0.5986802271177972,1
西,510,1,3.196078431372549,248,3.100806451612902,126480,0.5997599258183481,1
跳,478,1,2.9790794979079482,258,2.8914728682170523,123324,0.6007718787180801,1
马,640,1,3.287500000000001,192,2.869791666666668,122880,0.6021267947344576,1
哪,468,1,3.034188034188033,261,2.885057471264367,122148,0.6031175770714338,1
四,452,1,3.061946902654868,270,3.044444444444444,122040,0.6040744865080003,1
谁,512,1,3.0800781249999982,238,3.130252100840335,121856,0.6051584193211024,1
意,441,2,3.326530612244897,266,3.278195488721804,117306,0.6060920411386376,1
读,504,1,3.440476190476189,231,3.233766233766233,116424,0.6071590375015349,1
当,453,1,3.189845474613686,255,3.145098039215686,115515,0.6081180639943771,1
门,481,2,3.1580041580041582,237,3.050632911392404,113997,0.6091363680629358,1
外,477,1,3.111111111111113,237,3.109704641350211,113049,0.6101462039063923,1
行,444,1,3.0518018018018,254,3.047244094488187,112776,0.6110861768927541,1
经,405,1,3.266666666666665,276,3.217391304347826,111780,0.611943584684368,1
片,476,1,3.09033613445378,229,3.074235807860262,109004,0.6129513034715489,1
识,424,1,2.7547169811320753,256,2.667968749999999,108544,0.613848935332399,1
才,393,1,3.173027989821884,270,3.099999999999998,106110,0.6146809384487059,1
